users,Barra da Tijuca,Barra de GuaratibA,Praia da Macumba,Praia da Reserva,Praia Vermelha,Botafogo,Copacabana,Grumari,Ipanema,Joatinga,Sao Conrado,Arpoador,Leblon,Flamengo,Leme,Urca,Prainha
user1,2,0,0,0,3,4,5,0,5,0,3,5,5,4,5,5,0
user2,0,0,0,0,3,1,3,0,5,0,2,5,4,3,3,3,0
user3,5,0,0,0,0,1,3,0,3,0,0,3,4,2,0,0,0
user4,0,0,0,0,2,2,4,0,5,0,2,5,5,2,3,2,0
user5,5,5,5,5,1,1,2,5,3,5,3,3,3,1,2,1,3
user6,5,5,5,5,0,1,3,5,4,5,0,4,5,0,0,0,5
user7,4,0,0,0,0,2,3,0,5,5,3,3,5,0,0,0,0
user8,5,0,0,0,5,4,3,0,5,5,0,5,5,4,5,5,5
user9,2,4,4,4,0,0,2,4,3,0,0,2,1,0,2,0,0
user10,4,0,0,0,0,0,1,5,4,0,0,0,4,0,0,0,5
user11,4,0,5,5,1,1,3,5,5,5,0,5,3,1,0,0,5
user12,3,0,1,4,1,1,1,5,2,0,0,4,0,0,0,0,5
user13,4,0,4,4,4,1,2,0,5,5,0,4,5,0,0,0,0
user14,4,4,0,0,2,1,2,5,4,0,3,4,4,1,4,3,5
user15,4,0,0,5,0,0,0,5,0,0,0,0,4,1,3,0,0
user16,3,0,0,0,1,2,5,0,5,0,1,5,5,2,5,2,0
user17,4,0,0,0,2,1,2,5,4,4,1,2,4,1,4,1,5
user18,0,0,0,0,0,1,5,0,5,5,0,4,4,0,5,0,0
user19,3,0,4,5,3,2,2,5,3,5,2,4,3,0,2,1,5
user20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user21,3,0,0,0,4,1,2,3,5,4,3,5,4,2,3,4,2
user22,0,0,0,3,2,1,2,5,4,5,0,4,4,2,3,0,4
user23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
